ID	Int_TYPE1	Area_TYPE1	Int_TYPE2_N	Area_TYPE1
329	2.4352	3837	31.1410	3837
330	1.7744	1600	10.7387	1600
331	3.5991	2559	12.1528	2559
332	2.2936	1652	1.6447	1652
333	1.9089	1668	1.7170	1668
334	1.7392	4199	1.2567	4199
335	1.6137	2164	1.3235	2164
336	1.9218	5409	1.4701	5409
337	1.8621	145	1.2345	145
338	1.6697	2095	1.5189	2095
339	1.7279	2716	1.4374	2716
340	1.5261	2895	1.4815	2895
341	1.9241	2649	1.6844	2649
342	1.4176	819	3.8266	819
343	1.2574	3201	1.5048	3201
344	0.9107	4098	1.2186	4098
345	1.1229	2782	4.4813	2782
346	1.5804	6073	1.8157	6073
347	0.7598	4787	1.0033	4787
348	1.3224	2801	1.1764	2801
349	1.0191	5340	1.4755	5340
350	1.0140	7849	1.3876	7849
351	1.2785	79	1.3797	79
352	0.9091	11	1.0909	11
353	1.3820	89	1.0899	89
354	1.4865	594	1.2778	594
355	1.1179	9074	1.2584	9074
356	0.3730	4032	3.4722	4032
357	0.4465	1561	0.9334	1561
358	1.6899	874	15.9771	874
359	1.7083	480	17.2937	480
360	2.5824	2129	23.3734	2129
361	1.8595	1943	26.2342	1943
362	2.5404	2687	18.4459	2687
363	2.4041	1282	8.2402	1282
364	1.5297	3043	20.2698	3043
365	1.0735	68	8.2500	68
366	1.7396	1613	9.6708	1613
367	2.8789	1239	11.9104	1239
368	1.5634	662	8.4396	662
369	2.2569	1584	13.3699	1584
370	2.2972	1447	4.9053	1447
371	1.8889	909	12.8339	909
372	4.1171	4441	18.3623	4441
373	1.7109	3117	15.8341	3117
374	4.7666	1795	17.7994	1795
375	13.7709	585	2.5795	585
376	5.6381	2462	3.1040	2462
377	1.6232	353	7.7365	353
378	12.7071	1738	2.1939	1738
379	2.2133	961	15.5557	961
380	2.1774	1618	10.3022	1618
381	5.2973	989	4.3276	989
382	4.2236	1610	15.6963	1610
383	1.8157	1763	9.1929	1763
384	2.5335	1747	24.7716	1747
385	18.9384	2128	7.5710	2128
386	3.8191	1620	18.2784	1620
387	3.3323	1011	28.5767	1011
388	3.7784	1417	5.9464	1417
389	2.3226	1891	6.3416	1891
390	8.7956	1355	2.7882	1355
391	3.3679	1998	13.5861	1998
392	14.6100	1305	5.5295	1305
393	3.9926	3384	18.6262	3384
394	5.9892	1664	19.4321	1664
395	6.2121	1919	20.7650	1919
396	17.6449	3284	10.2220	3284
397	11.3527	207	4.1256	207
398	8.7953	1290	7.4442	1290
399	5.6452	930	1.7247	930
400	2.8310	1189	13.5013	1189
401	5.9318	132	0.9318	132
402	19.6623	1291	1.6212	1291
403	2.3989	178	2.3764	178
404	2.0986	862	2.1763	862
405	2.4039	2951	15.5422	2951
406	2.6786	56	2.4643	56
407	3.4965	709	3.2158	709
408	2.9444	36	2.5556	36
409	2.2353	884	2.0622	884
410	4.5658	1861	2.3966	1861
411	4.9380	2146	11.7717	2146
412	2.5441	1044	2.2749	1044
413	1.8771	879	1.9329	879
414	2.8921	1511	2.5189	1511
415	1.6296	2894	10.4862	2894
416	2.5959	2361	1.8208	2361
417	2.6071	28	1.7143	28
418	3.1467	75	1.8533	75
419	5.2846	1135	11.2537	1135
420	4.3213	1821	4.5821	1821
421	2.4942	866	1.6905	866
422	4.6648	1766	16.5849	1766
423	4.6215	1765	15.8272	1765
424	2.5588	34	1.5588	34
425	1.7879	1796	19.8825	1796
426	1.3316	3390	16.6885	3390
427	2.3889	36	11.7778	36
428	2.1248	1466	1.6651	1466
429	1.9958	1894	1.8411	1894
430	1.6893	2832	1.6522	2832
431	2.2079	2925	1.5532	2925
432	3.2019	723	10.5325	723
433	2.0747	1753	1.5311	1753
434	1.8879	107	1.5047	107
435	1.7886	2640	1.6864	2640
436	1.6892	222	1.4009	222
437	1.8594	192	1.5833	192
438	1.3534	3531	1.3846	3531
439	1.3802	2483	1.4458	2483
440	0.8874	2894	4.6216	2894
441	1.1161	112	1.3571	112
442	0.8853	3069	1.7201	3069
443	0.7425	1860	1.1242	1860
444	1.3282	3815	1.3389	3815
445	0.5375	3611	0.7688	3611
446	1.2390	2243	1.2835	2243
447	1.1785	2857	1.3175	2857
