ID	Int_TYPE1_N	Int_TYPE2_N
393	2.7900	2.0498
394	0.9762	10.1220
395	1.3978	10.2482
396	2.4380	6.6423
397	1.9779	5.1106
398	1.7483	10.3742
399	3.4615	2.0256
400	1.4948	7.7557
401	13.2316	3.1935
402	2.8470	2.0560
403	4.2145	2.5136
404	3.5893	1.9821
405	9.0521	3.0938
406	0.8421	5.0632
407	0.9052	3.5086
408	3.9583	20.9583
409	1.8430	6.2092
410	1.3541	13.2210
411	6.0022	2.0562
412	9.6742	1.8244
413	11.6536	2.9087
414	1.3333	16.5556
415	1.0300	1.4300
416	0.7500	1.2500
417	0.6651	1.1722
418	0.8889	0.9778
419	0.3966	0.8966
420	0.4000	1.0000
421	0.5638	0.8255
422	0.4167	0.6806
423	0.4071	0.8407
424	0.5302	1.0336
425	0.5485	1.0802
426	0.3837	0.8576
427	0.5205	0.8904
428	0.2000	0.8000
429	0.1702	0.8936
430	0.7986	15.5764
431	1.5185	9.5926
432	2.9545	8.4545
433	1.4912	12.6667
434	1.0842	9.3895
435	0.8675	16.2651
436	0.7055	6.7914
437	3.8885	15.8409
438	7.6186	4.9153
439	3.4864	1.9591
440	1.5660	10.4780
441	1.0854	11.6951
442	1.5893	23.1250
443	0.9114	7.1229
444	2.6087	14.3304
445	9.8761	5.0519
446	2.5679	6.9233
447	1.5741	7.1852
448	2.8889	5.6444
449	9.2711	1.3554
450	1.6680	12.1598
451	9.5867	1.7867
452	1.0470	1.0920
453	0.2440	0.8274
454	0.7045	0.9167
455	0.6361	1.0984
456	0.6441	0.8898
457	1.0769	1.1538
458	0.7500	1.1000
459	0.5342	1.0806
460	0.7500	1.0000
461	0.4286	0.4694
462	0.4839	1.0000
463	0.3698	0.5509
464	0.6667	1.5000
465	0.4364	0.6773
466	0.3709	0.6645
467	0.4079	0.6218
468	0.4182	1.0670
469	0.1599	1.7920
470	0.4000	0.7800
471	0.2152	0.5696
472	0.8538	9.1423
473	1.0000	11.0000
474	1.0000	15.4286
475	1.9015	30.4804
476	1.1944	14.7500
477	1.4057	15.9481
478	1.0775	24.9704
479	0.9730	4.0541
480	1.4211	8.8947
481	0.5333	4.0000
482	1.6607	5.0657
483	8.1739	4.2174
484	4.6612	2.0960
485	1.7801	17.3785
486	4.3636	6.6104
487	5.8957	18.6723
488	1.6421	11.0468
489	1.7644	8.7212
490	2.1908	1.7171
491	1.1574	6.4352
492	0.6250	2.8750
493	0.8438	1.5625
494	1.0495	0.9780
495	1.3548	1.7097
496	1.0000	1.2500
497	0.5019	2.4499
498	0.2288	0.9041
499	1.3294	13.7176
500	1.6708	17.8815
501	1.5161	36.2258
502	0.0000	15.5000
503	2.6088	7.9275
504	1.5556	12.3200
505	2.0000	9.6667
506	4.3123	16.1970
507	3.6599	2.9456
508	1.1113	9.8483
509	0.5620	1.7435
510	0.4921	1.7446
511	0.8557	11.1438
512	0.7619	1.6667
513	0.6986	1.5359
514	0.3918	2.4765
515	0.5000	1.2500
516	0.6750	1.2583
517	1.0000	0.2500
518	1.7944	16.0740
519	1.2296	5.1167
520	1.0000	3.0000
521	1.0561	9.5555
522	0.6667	5.6667
523	1.8861	16.2505
524	0.3121	2.4682
525	1.5714	15.2143
526	0.9118	7.2059
527	1.2132	75.9420
528	1.3346	15.8077
529	1.5882	6.4431
530	12.6596	10.8262
531	3.8333	8.2778
532	1.9969	9.2375
533	3.0000	7.7500
534	1.6601	17.3776
535	2.9373	14.4295
536	8.6250	85.8750
537	3.0892	4.1338
538	3.0490	4.3147
539	1.9979	13.3253
540	3.2342	12.5667
541	1.1197	9.2757
542	2.3934	13.3066
543	0.8500	10.2500
544	6.7868	9.7610
545	1.2505	16.4911
546	6.0000	9.0000
547	2.8350	20.7774
548	3.5000	8.0000
549	1.6622	16.5845
550	7.0000	30.0000
551	9.5711	3.3454
552	8.3172	2.9220
553	4.8807	2.2898
554	1.0000	19.0000
555	3.0000	18.0000
556	1.8082	22.4397
557	4.0000	14.6667
558	2.0000	7.6667
559	4.9889	9.0332
560	6.0000	3.5000
561	2.4908	3.5399
562	3.9444	3.3889
563	7.0000	8.2500
564	6.0769	5.7156
565	0.7518	5.9538
566	1.5000	12.8356
567	0.6259	3.7959
568	0.9717	5.6792
569	5.2500	14.1667
570	6.6667	15.3333
571	3.8739	16.6275
572	7.3333	13.0000
573	1.0000	14.0000
574	1.7465	10.8710
575	7.0000	21.0000
576	3.0000	16.0000
577	3.9007	17.5417
578	7.2868	19.6124
579	1.6037	9.3304
580	1.8889	10.4444
581	1.6154	8.7692
582	2.2469	5.7855
583	1.3006	5.1503
584	5.1486	7.8919
585	3.9194	7.8978
586	1.7701	14.3103
587	3.9302	2.8349
588	1.9574	5.9437
589	2.3467	10.4786
590	4.3056	5.9444
591	1.2258	4.3871
592	1.6341	3.9756
593	2.2086	3.6953
594	7.9375	3.5312
595	5.8561	4.7368
596	1.0000	9.2500
597	1.7222	17.0370
598	2.2120	15.9532
599	1.0000	19.2222
600	4.2609	10.9016
601	1.3097	7.0000
602	1.5365	13.4383
603	6.9379	1.9034
604	23.0000	2.0000
605	11.8321	9.8139
606	24.0000	5.0000
607	2.9707	8.8095
608	2.6572	14.9233
609	11.0103	6.9021
610	1.4422	12.8392
611	2.7500	21.2500
612	6.1500	19.9000
613	0.9070	2.8915
614	1.3704	3.6809
615	11.7611	5.6018
616	6.0000	0.0000
617	2.1348	1.4174
618	4.6250	1.8750
619	2.3333	1.3333
620	3.0988	8.8595
621	1.5200	11.4800
622	2.0000	23.5000
623	4.0000	16.0000
624	2.7909	10.0529
625	1.0000	16.2500
626	7.2556	2.7575
627	4.8000	1.2000
628	13.3846	2.0000
629	1.4355	5.0323
630	1.1933	3.4200
631	15.4237	2.3220
632	1.2222	1.9074
633	1.6618	6.2157
634	7.9558	4.9076
635	3.9727	8.4365
636	2.7646	5.7580
637	0.8514	2.5811
638	1.2656	1.7137
639	2.5464	11.0031
640	1.2125	9.6357
641	0.9324	8.3886
642	2.3333	5.0952
643	1.0000	9.4000
644	2.0000	5.0000
645	1.2000	9.4000
646	2.0594	7.1553
647	1.5000	4.5000
648	12.0000	5.0000
649	1.2750	3.6625
650	2.6204	2.2336
651	0.7203	8.2168
652	0.6271	3.8622
653	0.7584	0.6711
654	0.5375	1.6193
655	0.6591	12.5227
656	1.0424	4.4548
657	1.7523	2.9480
658	1.0000	0.8333
659	1.4308	7.2769
660	1.4959	4.0413
661	0.9400	0.7600
662	1.1895	1.0000
663	1.1154	1.1442
664	0.4924	1.1264
665	0.3648	0.7869
666	0.4526	0.8316
667	0.8333	1.4583
668	0.3115	0.7377
669	0.4066	0.9451
670	1.0000	1.5000
671	0.6256	1.3153
672	0.1667	0.6362
673	0.6250	1.2917
674	0.7206	1.4191
675	0.0000	0.6667
676	0.8750	1.3750
677	1.2500	1.1250
678	0.3192	0.6564
679	0.2471	4.2356
680	0.1985	0.7863
681	0.3813	1.5556
682	0.3367	1.0612
