ID	Int_TYPE1_N	Int_TYPE2_N
519	1.5694	5.6250
520	0.5946	1.1622
521	22.5000	48.0000
522	0.7037	3.2593
523	1.6585	3.6585
524	3.5705	12.1275
525	0.8322	5.2928
526	0.3534	0.9850
527	6.5000	7.5000
528	0.3671	1.0127
529	0.2222	1.5556
530	1.4000	26.4000
531	12.9610	10.4156
532	2.5526	25.7105
533	3.0000	62.0000
534	1.1250	7.4000
535	5.7391	23.3478
536	1.2000	6.8000
537	2.2571	4.5943
538	0.7368	8.0526
539	1.6667	10.0833
540	1.0000	5.0000
541	5.9118	6.4176
542	6.5000	27.0000
543	3.2727	6.4675
544	3.0000	17.5000
545	3.6667	2.0000
546	7.0000	17.0000
547	2.4000	2.2000
548	3.7500	18.0833
549	1.5000	0.5000
550	1.4333	4.2333
551	3.7692	27.0000
552	1.5455	11.7273
553	5.1429	25.1429
554	6.9744	10.0769
555	7.4286	22.1429
556	0.8192	18.2260
557	3.3203	20.1719
558	3.4545	35.3939
559	4.5909	8.7045
560	4.8387	21.6129
561	1.0000	19.8571
562	1.2599	12.9492
563	0.9277	55.6145
564	4.2973	10.6216
565	0.9841	38.0159
566	2.2744	54.3049
567	1.6667	12.7778
568	7.4400	10.4400
569	3.6000	13.6000
570	6.6000	7.4000
571	0.4091	5.2273
572	0.7193	3.9649
573	4.7778	11.8889
574	2.6667	28.3333
575	1.6429	13.6429
576	2.0000	8.6000
577	2.8312	8.9091
578	19.0000	25.0000
579	2.5017	18.3449
580	3.2000	18.4000
581	1.9275	26.4819
582	5.1429	26.4286
583	4.3333	18.0000
584	3.8182	17.4091
585	12.8947	6.1754
586	18.3929	32.5000
587	6.9162	5.9791
588	8.7781	4.7278
589	10.0000	1.5000
590	26.8333	1.6667
591	12.0000	3.0000
592	13.1385	1.8923
593	13.0000	2.0000
594	19.0909	7.8788
595	31.5000	1.3333
596	1.8846	8.4615
597	1.7500	1.8750
598	2.2143	11.3571
599	6.0000	17.0000
600	3.7500	13.3750
601	6.0000	25.0000
602	4.8000	3.8000
603	2.6667	18.5088
604	1.5759	8.3987
605	2.0000	11.1818
606	3.3625	16.2875
607	6.1429	5.4286
608	7.9167	9.9167
609	12.0000	11.5000
610	12.4000	4.8000
611	7.4667	6.8000
612	2.3772	5.2632
613	3.2183	4.4236
614	4.6000	7.1333
615	13.1667	15.3333
616	8.1029	2.0647
617	0.5672	3.8358
618	15.3333	2.3333
619	15.6875	2.5625
620	13.4071	1.9558
621	2.1429	2.3312
622	22.0000	1.5000
623	2.0549	3.4939
624	18.0000	2.0000
625	7.0000	36.0000
626	1.3158	27.2105
627	2.5000	17.0000
628	1.3542	17.0000
629	4.5000	30.0000
630	20.8095	1.5714
631	5.0000	27.5000
632	21.4400	2.2800
633	3.2500	23.6250
634	4.0000	37.5000
635	2.3173	14.6202
636	17.7000	2.2000
637	23.8000	1.6571
638	5.0000	3.0000
639	9.7647	1.4706
640	4.5946	2.5405
641	12.0000	1.0000
642	8.3714	1.3714
643	2.5000	3.0000
644	12.6667	2.0000
645	14.5000	2.0000
646	0.2923	0.8000
647	1.0000	9.3333
648	8.4000	7.6000
649	13.8750	3.1250
650	0.6923	11.8462
651	3.3913	14.3043
652	9.6000	18.5333
653	4.1667	1.1667
654	5.7391	1.8261
655	11.8377	1.9091
656	7.4231	2.0385
657	13.1923	1.5000
658	8.6962	2.3038
659	4.1724	1.3103
660	9.0000	3.0000
661	2.9314	1.9804
662	1.9487	1.5513
663	2.8736	1.7241
664	4.4400	2.2800
665	5.9123	2.4912
666	4.2500	2.0357
667	2.8214	1.6429
668	8.4286	2.2000
669	3.0000	1.6970
670	1.4545	5.4000
671	2.5000	9.5000
672	0.6158	10.9507
673	1.0000	33.4444
674	1.0000	37.0000
675	2.6825	2.3175
676	2.6290	2.9516
677	3.0000	0.5000
678	2.6786	1.2024
679	3.7209	3.4884
680	2.2045	1.0909
681	4.9821	3.1696
682	3.8649	0.9189
683	7.0000	1.3333
684	7.5000	3.0000
685	7.5000	1.5000
686	9.0000	0.0000
687	15.7762	1.7552
688	3.4762	2.0000
689	3.0932	1.9915
690	0.0000	1.5000
691	0.0000	3.0000
692	0.3333	3.2222
693	0.0873	1.3889
694	1.0000	2.0000
695	0.1250	6.1875
696	0.1026	1.2821
697	0.0000	1.0000
698	0.0000	4.6667
699	0.0000	2.0000
700	0.6667	7.0000
701	11.1435	1.5024
